timestamp,blink,attention,meditation,delta,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,mid_gamma
1565648650988,0,70,70,7119,7226,3847,5218,3266,5740,6196,4155,
1565648651486,0,49,66,7116,7278,3834,5301,3339,5728,6137,4203,
1565648651986,0,46,61,7113,7341,3872,5412,3441,5711,6128,4395,
1565648652487,0,38,55,7109,7393,3996,5531,3556,5686,6084,4706,
1565648652988,0,35,54,7102,7411,4252,5641,3665,5660,6065,5016,
1565648653488,0,41,53,7095,7391,4610,5730,3752,5631,6177,5236,
1565648653988,0,53,50,7087,7356,4999,5795,3811,5601,6399,5439,
1565648654489,0,56,48,7075,7328,5337,5838,3839,5572,6648,5616,
1565648654990,0,53,47,7064,7301,5560,5862,3860,5544,6822,5700,
1565648655491,0,51,48,7051,7267,5734,5873,3876,5520,6922,5625,
1565648655992,0,48,51,7038,7214,5899,5876,3890,5502,6986,5517,
1565648656493,0,36,54,7019,7136,6042,5862,3899,5488,7048,5523,
1565648656994,0,27,54,7001,7013,6198,5829,3922,5472,7060,5538,
1565648657494,0,20,52,6982,6866,6335,5791,3954,5455,7014,5528,
1565648657995,0,24,51,6955,6686,6427,5764,3999,5433,6921,5502,
1565648658499,0,23,51,6932,6487,6510,5763,4050,5407,6831,5498,
1565648658997,0,27,50,6908,6274,6623,5794,4097,5385,6793,5547,
1565648659497,0,31,49,6875,6067,6798,5847,4133,5365,6835,5673,
1565648659998,0,38,46,6846,5865,6979,5911,4185,5346,6941,5949,
1565648660499,0,36,43,6816,5648,7157,5969,4247,5339,7108,6247,
1565648660999,0,33,39,6776,5397,7299,6004,4324,5341,7312,6430,
1565648661500,0,34,35,6740,5166,7389,6005,4422,5356,7415,6529,
1565648662001,0,38,32,6698,4952,7426,5976,4542,5375,7439,6569,
1565648662501,0,37,33,6647,4775,7428,5938,4664,5413,7452,6569,
1565648663002,0,39,34,6598,4643,7397,5889,4811,5469,7487,6533,
1565648663503,0,37,32,6545,4563,7360,5822,4967,5528,7405,6481,
1565648664003,0,34,32,6481,4531,7318,5732,5120,5608,7102,6425,
1565648664504,0,38,32,6424,4535,7235,5617,5265,5704,6766,6352,
1565648665005,0,41,32,6365,4552,7127,5455,5396,5798,6511,6232,
1565648665505,0,35,36,6295,4589,6997,5250,5493,5912,6385,6035,
1565648666006,0,34,39,6234,4625,6850,5027,5580,6034,6240,5723,
1565648666506,0,25,38,6173,4650,6706,4819,5638,6147,6110,5347,
1565648667007,0,24,36,6100,4686,6578,4654,5670,6274,6059,4965,
1565648667507,0,19,36,6041,4717,6488,4539,5675,6403,6126,4665,
1565648668008,0,26,35,5982,4738,6452,4421,5657,6514,6202,4441,
1565648668509,0,35,35,5926,4732,6458,4294,5616,6635,6164,4257,
1565648669009,0,52,36,5864,4684,6477,4160,5576,6753,5994,4022,
1565648669509,0,63,36,5813,4608,6515,4021,5528,6861,5886,3772,
1565648670010,0,60,36,5766,4491,6576,3882,5486,6975,5958,3563,
1565648670511,0,64,36,5711,4341,6642,3748,5436,7095,6074,3399,
1565648671012,0,66,38,5671,4175,6660,3629,5381,7201,6193,3217,
1565648671512,0,69,37,5635,4015,6622,3531,5325,7308,6363,2976,
1565648672012,0,70,34,5597,3884,6546,3460,5276,7414,6736,2762,
1565648672513,0,74,34,5573,3788,6448,3418,5228,7502,7160,2577,
1565648673014,0,66,35,5553,3723,6374,3412,5193,7589,7475,2391,
1565648673515,0,64,35,5527,3670,6318,3471,5155,7667,7685,2139,
1565648674015,0,53,37,5517,3630,6227,3595,5116,7724,7772,1975,
1565648674516,0,48,37,5511,3600,6057,3760,5071,7777,7799,2013,
1565648675016,0,30,35,5500,3583,5790,3940,5025,7819,7857,2218,
1565648675517,0,21,34,5499,3575,5512,4108,4978,7836,7795,2525,
1565648676017,0,24,32,5502,3573,5244,4256,4938,7850,7493,2887,
1565648676518,0,27,31,5493,3569,5042,4401,4894,7850,6958,3348,
1565648677019,0,29,28,5495,3563,4920,4544,4853,7832,6470,3746,
1565648677519,0,29,26,5496,3555,4819,4686,4818,7813,6125,4030,
1565648678019,0,37,24,5491,3551,4708,4827,4782,7792,5719,4307,
1565648678520,0,36,21,5488,3554,4604,4967,4744,7759,5274,4578,
1565648679020,0,45,21,5483,3569,4520,5105,4710,7733,4922,4802,
1565648679521,1,53,20,5467,3622,4485,5242,4675,7714,4772,4960,
1565648680022,0,48,22,5454,3715,4512,5377,4646,7691,4651,5139,
1565648680522,0,41,26,5438,3841,4570,5510,4626,7683,4434,5410,
1565648681023,0,40,31,5417,3969,4609,5641,4616,7688,4223,5707,
1565648681524,0,50,35,5386,4092,4599,5768,4613,7687,4088,5988,
1565648682025,0,58,36,5356,4199,4507,5888,4602,7693,4004,6227,
1565648682525,0,55,34,5327,4308,4354,5994,4583,7702,3866,6439,
1565648683026,0,53,34,5288,4415,4214,6079,4561,7702,3769,6660,
1565648683527,0,55,35,5257,4527,4148,6138,4541,7708,3707,6904,
1565648684028,0,67,35,5226,4645,4155,6164,4531,7718,3597,7160,
1565648684528,0,70,35,5191,4782,4169,6154,4535,7720,3534,7364,
